"RammStein","6wWVKhxIU2cEi0K81v7HvP","Rammstein is metal band from germany."
"Declan McKenna","2D4FOOOtWycb3Aw9nY5n3c","Declan Benedict McKenna is an English singer, songwriter, music producer, and political activist."
"queens of the stone age","4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age (commonly abbreviated QOTSA) is an American rock band formed in 1996 in Palm Desert, California. "
"The white stripes","4F84IBURUo98rz4r61KF70","The White Stripes were an American rock duo from Detroit, Michigan formed in 1997."
"The happy fist","73rPcaYEhBd0UuVZBqqyQJ","Music band"
"Miracle Musical","2FRXiAz5Uz78LLLSwEUhLt","Miracle Musical is a musical project spearheaded by Joe Hawley, with Ross Federman and Bora Karaca co-ordinating and producing, and a multitude of other musicians and guests featuring."
"Royal Republic","0DbbnkFMhhDvinDYIiHhGS","Royal Republic is a Swedish rock band from Malmo."
"Queen","1dfeR4HaWDbWqFHLkxsg1d","Queen are a British rock band formed in London in 1970."
"The rentals","3NmdKZUM96z7NGvL35g5PC","The Rentals are an American rock band fronted by vocalist Matt Sharp. Sharp has been the only consistent member since the groups inception. The bands best selling single is Friends of P (1995). The Rentals released two albums, Return of the Rentals (1995) and Seven More Minutes (1999)"
"Weezer","3jOstUTkEu2JkjvRdBA5Gu","Weezer is rock band"
"arcticmonk","7Ln80lUS6He07XvHI8qqHH","Monkeys are an English rock band formed in Sheffield in 2002."
"alt-J","3XHO7cRUPCLOr6jwp8vsx5","Alt-J are an English indie rock band formed in 2007 in Leeds, by Joe Newman (guitar/lead vocals), Thom Sonny Green (drums), Gus Unger-Hamilton (keyboards/vocals) and Gwilym Sainsbury (guitar/bass)."
"bbn$","41X1TR6hrK8Q2ZCpp2EqCz","Alexander Leon Gumuchian (born June 30, 1995), better known as bbno$ (pronounced as baby no money), is a Canadian rapper, singer, and songwriter from Vancouver, British Columbia."
"Dualipa","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa is Petrs favourite singer"
"feedmejack","2eBmUbHKMQCAdD824cSiIL","Feed Me Jack were an Indie/Progressive Rock group from Santa Cruz, CA. The group was founded by members Sven Gamsky and Robert Ross, later introducing members Jake Thornton and Glenn Carson."
"Franz Ferdinand","0XNa1vTidXlvJ2gHSsRi4A","Toto pry posloucha pan Valenta"
"TameImpala","5INjqkS1o8h1imAzPqGZBb","placeholder"
"GreenDay","7oPftvlwr6VrsViSDV7fJY","Green Day is an American rock band formed in the East Bay of California in 1987 by lead vocalist and guitarist Billie Joe Armstrong and bassist and backing vocalist Mike Dirnt. For much of the bands career, they have been a trio with drummer Tre Cool"
"IDK HOW","0Raaw7kr1Vzat4ZvHzjsJR","I Dont Know How But They Found Me (stylized in all caps), often shortened to IDKHow (stylized as iDKHOW), is an American musical duo based in Salt Lake City, Utah and formed in 2016."
"MCHR","7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance (commonly abbreviated to MCR or My Chem) is an American rock band from Newark, New Jersey."
"Nirvana","6olE6TJLqED3rqDCT0FyPh","Nirvana was an American rock band formed in Aberdeen, Washington, in 1987. Founded by lead singer and guitarist Kurt Cobain and bassist Krist Novoselic, the band went through a succession of drummers, most notably Chad Channing, before recruiting Dave Grohl in 1990. Nirvana success popularized alternative rock"
"Pixies","6zvul52xwTWzilBZl6BUbT","The Pixies are an American alternative rock band formed in 1986 in Boston, Massachusetts. Until 2013, the band comprised Black Francis (vocals, rhythm guitar, songwriter), Joey Santiago (lead guitar), Kim Deal (bass, backing vocals) and David Lovering (drums). The band disbanded acrimoniously in 1993 but reunited in 2004"
"PrinceDaddyHyena","3EYgeLZ0vtVHKkUL26Eu49","Prince Daddy & The Hyena is an American rock band from Albany, New York, formed in 2014. They have released three full-length albums and four plays."
"Radiohead","4Z8W4fKeB5YxbusRsdQVPb","Radiohead are an English rock band formed in Abingdon, Oxfordshire."
"RHCH","0L8ExT028jH3ddEcZwqJJ5","The Red Hot Chili Peppers are an American rock band formed in Los Angeles in 1983. Their music incorporates elements of alternative rock, funk, punk rock and psychedelic rock."
"RoyalBlood","2S5hlvw4CMtMGswFtfdK15","Royal Blood are an English rock duo formed by Mike Kerr (vocals, bass guitar) and Ben Thatcher (drums) in Worthing in 2011."
"Saintmotel","1dWEYMPtNmvSVaDNLgB6NV","Saint Motel (stylized as SAINT MOTEL) is an American indie pop band from Los Angeles, whose music has been described as everything from dream pop to indie prog."
"Tally hall","7lqaPghwYv2mE9baz5XQmL","Tally Hall is an American rock band formed in Ann Arbor, Michigan, in December 2002. The band is known for upbeat melodies and whimsical lyrics. The members originally described their musical style as wonky rock, later redefining their sound as fabloo"
"Fratelis","3M4ThdJR28z9eSMcQHAZ5G","The Fratellis are a Scottish rock band from Glasgow, formed in 2005. The band consists of lead vocalist and guitarist Jon Fratelli, bassist and backing vocalist Barry Fratelli, and drummer and backing vocalist Mince Fratelli."
"NBHD","77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood (sometimes rendered as THE NBHD) is an American rock band formed in Newbury Park, California, in 2011."
"tyler tvoritel","4V8LLVI7PbaPR0K2TGSxFF","Tyler Gregory Okonma (born March 6, 1991), professionally known as Tyler, the Creator, is an American rapper and record producer."
"Vundabar","1W4itxt3vwhmrgLEBuVHJ6","Vundabar formed when Brandon Hagen and Drew McDonald were in high school. Vundabar released their first full-length album in 2013 titled Antics."
"Yabadum","61b7Q2JnuxCcc3REqayakO","Yabadum"
"Blur","7MhMgCo0Bl0Kukl93PZbYS","Blur"
